Title,Released,Genre,Runtime,imdbRating,imdbVotes,BoxOffice
American Crime Story,02 Feb 2016,"Biography, Crime, Drama",42 min,8.4,"100,998",
The Inbetweeners,25 Jan 2010,Comedy,25 min,8.4,"96,950",
Star Trek,08 May 2009,"Action, Adventure, Sci-Fi",127 min,7.9,"630,013","$257,730,019"
Mirzapur,15 Nov 2018,"Action, Crime, Thriller",60 min,8.4,"89,545",
The Good Wife,22 Sep 2009,"Crime, Drama, Mystery",43 min,8.4,"86,200",
Ash vs Evil Dead,31 Oct 2015,"Action, Comedy, Horror",30 min,8.4,"82,275",
Dragon Ball,26 Feb 1986,"Animation, Action, Adventure",24 min,8.5,"72,443",
Dragon Ball,26 Feb 1986,"Animation, Action, Adventure",24 min,8.5,"72,443",
Happy Valley,29 Apr 2014,"Crime, Drama, Thriller",58 min,8.5,"69,180",
Derry Girls,21 Dec 2018,Comedy,30 min,8.5,"68,596",
Asur: Welcome to Your Dark Side,02 Mar 2020,"Crime, Drama, Mystery",43 min,8.5,"67,268",
Flight of the Conchords,17 Jun 2007,"Comedy, Music, Musical",33S min,8.5,"67,752",
M*A*S*H,18 Mar 1970,"Comedy, Drama, War",116 min,7.3,"80,266","$81,600,000"
Samurai Jack,10 Aug 2001,"Animation, Action, Adventure",1 min,8.5,"63,482",
Samurai Champloo,11 Jan 2005,"Animation, Action, Adventure",24 min,8.5,"58,414",
Spaced,24 Sep 1999,Comedy,25 min,8.5,"59,506",
Formula 1: Drive to Survive,08 Mar 2019,"Documentary, Sport",1 min,8.5,"55,323",
Mob Psycho 100,27 Oct 2018,"Animation, Action, Comedy",24 min,8.5,"56,247",
Justice League,17 Nov 2017,"Action, Adventure, Fantasy",120 min,6.1,"486,646","$229,024,295"
Trailer Park Boys,20 Apr 2004,"Comedy, Crime",30 min,8.5,"53,346",
The Knick,08 Aug 2014,"Drama, History",1 min,8.5,"54,528",
Boston Legal,03 Oct 2004,"Comedy, Crime, Drama",44 min,8.5,"51,763",
Coupling,01 Sep 2001,"Comedy, Romance",30 min,8.5,"48,921",
Whose Line Is It Anyway?,05 Aug 1998,"Comedy, Game-Show",N/A,8.5,"48,025",
Your Lie in April,09 Oct 2014,"Animation, Comedy, Drama",N/A,8.5,"43,489",
JoJo's Bizarre Adventure,04 Oct 2012,"Animation, Action, Adventure",30 min,8.5,"42,825",
It's Okay to Not Be Okay,20 Jun 2020,"Comedy, Drama, Romance",70 min,8.6,"38,491",
Skam,25 Sep 2015,"Drama, Romance",30 min,8.6,"40,502",
Ezel,28 Sep 2009,"Crime, Drama, Thriller",90 min,8.7,"38,871",
It's a Sin,18 Feb 2021,Drama,239 min,8.6,"39,180",
Special OPS,16 Mar 2020,"Action, Crime, Thriller",2 min,8.6,"38,257",
The Bugs Bunny Show,11 Oct 1960,"Animation, Comedy",30 min,8.6,"36,745",
Endeavour,01 Jul 2012,"Crime, Drama, Mystery",1 min,8.6,"36,006",
Pose,03 Jun 2018,Drama,60 min,8.6,"35,043",
QI,11 Sep 2003,"Comedy, Game-Show",21S min,8.6,"34,962",
Call the Midwife,15 Jan 2012,"Drama, History",60 min,8.6,"33,611",
Extraordinary Attorney Woo,29 Jun 2022,Drama,1 min,8.6,"29,499",
Guardian: The Lonely and Great God,02 Dec 2016,"Comedy, Drama, Fantasy",60 min,8.6,"32,087",
Letterkenny,07 Feb 2016,Comedy,30 min,8.6,"32,202",
Scavengers Reign,19 Oct 2023,"Animation, Adventure, Drama",N/A,8.6,"29,780",
Lonesome Dove,05 Feb 1989,"Adventure, Drama, Western",1 min,8.7,"28,194",
The Thick of It,19 May 2005,Comedy,29 min,8.7,"27,657",
The Adventures of Sherlock Holmes,14 Mar 1985,"Crime, Drama, Mystery",60 min,8.7,"25,606",
Another Love,11 Sep 2023,"Crime, Drama, Romance",N/A,8.7,"13,042",
Alchemy of Souls,18 Jun 2022,"Action, Drama, Fantasy",40S min,8.7,"22,266",
Justice League Unlimited,31 Jul 2004,"Animation, Action, Adventure",1 min,8.7,"23,385",
"I, Claudius",06 Nov 1977,"Biography, Drama, History",669 min,8.8,"21,026",
Black Pearl,28 Sep 2017,Drama,120 min,8.9,"19,374",
Rocket Boys,04 Feb 2022,"Drama, History",3 min,8.8,"19,365",
Sarabhai V/S Sarabhai,08 Nov 2004,Comedy,46S min,8.9,"18,404",
Africa,02 Jan 2013,Documentary,360 min,8.9,"18,988",
Apocalypse: The Second World War,11 Nov 2009,"Documentary, History, War",1 min,9.0,"15,523",
Reply 1988,05 Nov 2015,"Comedy, Drama, Family",25S min,9.0,"15,148",
Critical Role,12 Mar 2015,"Adventure, Fantasy",180 min,9.1,"13,899",
The Legend of Hanuman,29 Jan 2021,"Animation, Action, Adventure",25 min,9.1,"13,318",
Money Heist,02 May 2017,"Action, Crime, Drama",70 min,8.2,"573,256",
Loki,09 Jun 2021,"Action, Adventure, Fantasy",N/A,8.2,"444,135",
Sex Education,11 Jan 2019,"Comedy, Drama, Romance",45 min,8.2,"378,537",
The Mentalist,23 Sep 2008,"Crime, Drama, Mystery",43 min,8.2,"211,237",
The Good Place,19 Sep 2016,"Comedy, Drama, Fantasy",22 min,8.2,"207,526",
Adolescence,13 Mar 2025,"Crime, Drama, Mystery",N/A,8.2,"183,209",
Californication,13 Aug 2007,"Comedy, Drama",28 min,8.3,"192,014",
Outlander,09 Aug 2014,"Adventure, Drama, Fantasy",64 min,8.3,"191,157",
One Piece,20 Oct 1999,"Animation, Action, Adventure",24 min,9.0,"295,328",
Buffy the Vampire Slayer,10 Mar 1997,"Action, Adventure, Drama",44 min,8.3,"164,922",
Taboo,10 Jan 2017,"Drama, Mystery, Thriller",59 min,8.3,"154,174",
Peacemaker,13 Jan 2022,"Action, Adventure, Comedy",N/A,8.3,"147,087",
The Legend of Korra,14 Apr 2012,"Animation, Action, Adventure",1 min,8.3,"142,783",
The Pacific,14 Mar 2010,"Action, Adventure, Drama",530 min,8.3,"138,007",
30 Rock,11 Oct 2006,Comedy,22 min,8.3,"135,245",
Broadchurch,07 Aug 2013,"Crime, Drama, Mystery",48 min,8.3,"134,117",
Barry,25 Mar 2018,"Action, Comedy, Crime",2 min,8.3,"132,844",
Unbelievable,13 Sep 2019,"Crime, Drama",385 min,8.3,"128,433",
The Killing,03 Apr 2011,"Crime, Drama, Mystery",45 min,8.3,"129,008",
The Leftovers,29 Jun 2014,"Drama, Fantasy, Mystery",1 min,8.3,"121,273",
Orphan Black,30 Mar 2013,"Drama, Sci-Fi, Thriller",1 min,8.3,"120,089",
Billions,01 Jan 2016,Drama,60 min,8.3,"112,607",
Maid,01 Oct 2021,Drama,N/A,8.3,"111,218",
Cyberpunk: Edgerunners,13 Sep 2022,"Animation, Action, Adventure",N/A,8.3,"103,595",
Narcos: Mexico,16 Nov 2018,"Crime, Drama",2 min,8.3,"95,906",
Ray Donovan,18 Jun 2013,"Crime, Drama",60 min,8.3,"96,769",
Castlevania,07 Jul 2017,"Animation, Action, Adventure",23 min,8.3,"89,562",
1923,18 Dec 2022,"Drama, Western",N/A,8.3,"84,030",
Veronica Mars,22 Sep 2004,"Crime, Drama, Mystery",2 min,8.3,"80,383",
Chainsaw Man,11 Oct 2022,"Animation, Action, Comedy",N/A,8.3,"74,334",
Veep,22 Apr 2012,Comedy,28 min,8.4,"68,289",
Erased,08 Jan 2016,"Animation, Crime, Drama",264 min,8.4,"66,336",
Star Trek: Strange New Worlds,05 May 2022,"Action, Adventure, Sci-Fi",1 min,8.3,"64,126",
Black Books,09 Dec 2001,Comedy,1 min,8.5,"62,885",
Pushing Daisies,03 Oct 2007,"Comedy, Drama, Fantasy",N/A,8.4,"60,945",
Utopia,15 Jan 2013,"Drama, Mystery, Sci-Fi",1 min,8.4,"52,884",
X-Men,14 Jul 2000,"Action, Adventure, Sci-Fi",104 min,7.3,"671,912","$157,299,718"
Warrior,09 Sep 2011,"Action, Drama, Sport",140 min,8.1,"514,510","$13,657,115"
The Legend of Vox Machina,28 Jan 2022,"Animation, Action, Adventure",N/A,8.4,"48,980",
Carnivàle,14 Sep 2003,"Drama, Fantasy, Mystery",55 min,8.4,"47,752",
